,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
31,31,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107590234?plId=484367&plt=3,2019_11_20,3350000.0,4.0,2.5,3.0,974.0,,,4 Bedroom House in Constantia,Constantia
32,32,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107217382?plId=484365&plt=3,2019_11_20,5395000.0,3.0,2.0,2.0,704.0,,,3 Bedroom House in Constantia,Constantia
33,33,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108092594?plId=484363&plt=3,2019_11_20,7490000.0,4.0,5.0,4.0,2018.0,,,4 Bedroom House in Constantia,Constantia
34,34,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107993563?plId=484364&plt=3,2019_11_20,9999000.0,5.0,4.0,2.0,1356.0,,,5 Bedroom House in Constantia,Constantia
35,35,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107439945?plId=484359&plt=3,2019_11_20,9750000.0,3.0,2.5,2.0,,320.0,,3 Bedroom House in Constantia,Constantia
36,36,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107994624?plId=484354&plt=3,2019_11_20,13950000.0,3.0,2.5,2.0,904.0,,,3 Bedroom House in Constantia,Constantia
37,37,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107532293?plId=484355&plt=3,2019_11_20,17950000.0,5.0,4.0,2.0,1521.0,,,5 Bedroom House in Constantia,Constantia
38,38,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108040542?plId=484343&plt=3,2019_11_20,11900000.0,6.0,6.0,2.0,1913.0,,,6 Bedroom House in Constantia,Constantia
39,39,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108032963?plId=484342&plt=3,2019_11_20,12900000.0,5.0,4.5,2.0,2743.0,,,5 Bedroom House in Constantia,Constantia
40,40,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108159863?plId=484210&plt=3,2019_11_20,14950000.0,4.0,3.0,2.0,1884.0,,,4 Bedroom House in Constantia,Constantia
41,41,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107993523?plId=484211&plt=3,2019_11_20,13950000.0,3.0,2.5,2.0,904.0,,,3 Bedroom House in Constantia,Constantia
42,42,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/105767272?plId=484208&plt=3,2019_11_20,19950000.0,8.0,8.0,2.0,3834.0,,,8 Bedroom House in Constantia,Constantia
43,43,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108151013?plId=485035&plt=3,2019_11_20,4450000.0,2.0,2.0,2.0,183.0,,,2 Bedroom House in Constantia,Constantia
44,44,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108083516?plId=483977&plt=3,2019_11_20,6995000.0,4.0,4.0,3.0,1702.0,,,4 Bedroom House in Constantia,Constantia
45,45,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107998720?plId=483980&plt=3,2019_11_20,4950000.0,4.0,3.0,2.0,700.0,,,4 Bedroom House in Constantia,Constantia
46,46,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/106040213?plId=486339&plt=2,2019_11_20,35000000.0,5.0,5.0,3.0,8617.0,,,5 Bedroom House in Constantia,Constantia
47,47,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107645864?plId=483978&plt=3,2019_11_20,6500000.0,4.0,3.0,2.0,400.0,,,4 Bedroom House in Constantia,Constantia
48,48,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/107922855?plId=482861&plt=3,2019_11_20,17950000.0,5.0,4.0,2.0,1521.0,,,5 Bedroom House in Constantia,Constantia
49,49,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/106955014?plId=485132&plt=2,2019_11_20,1949250.0,,,,585.0,,,Vacant Land in Constantia,Constantia
50,50,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/106040213?plId=486339&plt=2,2019_11_20,35000000.0,5.0,5.0,3.0,8617.0,,,5 Bedroom House in Constantia,Constantia
51,51,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/106040213?plId=486339&plt=2,2019_11_20,35000000.0,5.0,5.0,3.0,8617.0,,,5 Bedroom House in Constantia,Constantia
52,52,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108091088?plId=487048&plt=2,2019_11_20,7490000.0,4.0,5.0,4.0,2018.0,,,4 Bedroom House in Constantia,Constantia
53,53,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108168429?plId=486881&plt=2,2019_11_20,7300000.0,6.0,6.0,,1405.0,,,6 Bedroom House in Constantia,Constantia
54,54,https://www.property24.com/for-sale/constantia/cape-town/western-cape/11742/108168429?plId=486881&plt=2,2019_11_20,7300000.0,6.0,6.0,,1405.0,,,6 Bedroom House in Constantia,Constantia
