,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/107470618?plId=483860&plt=2,2019_11_20,5195000.0,2.0,2.0,,107.0,,,2 Bedroom House in Gardens,Gardens
1,1,https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/107807441?plId=487299&plt=3,2019_11_20,2295000.0,1.0,1.0,1.0,,75.0,,1 Bedroom Apartment in Gardens,Gardens
2,2,https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/108165305?plId=486613&plt=3,2019_11_20,2400000.0,1.0,1.0,1.0,,53.0,,1 Bedroom Apartment in Gardens,Gardens
3,3,https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/108141966?plId=483882&plt=3,2019_11_20,3950000.0,2.0,2.0,,,123.0,,2 Bedroom Apartment in Gardens,Gardens
