,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/107446462?plId=486237&plt=2,2019_11_20,1450000.0,3.0,1.0,1.0,229.0,,,3 Bedroom House in Costa Da Gama,Costa Da Gama
1,1,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/108190787?plId=487281&plt=3,2019_11_20,5800000.0,3.0,4.0,2.0,,324.0,,3 Bedroom Townhouse in Muizenberg,Muizenberg
2,2,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/107775306?plId=485770&plt=3,2019_11_20,1795000.0,3.0,3.0,,125.0,,,3 Bedroom House in Muizenberg,Muizenberg
3,3,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/108094946?plId=484394&plt=3,2019_11_20,1495000.0,3.0,2.0,,222.0,,,3 Bedroom House in Muizenberg,Muizenberg
4,4,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/108047849?plId=484101&plt=3,2019_11_20,2099000.0,2.0,1.0,,217.0,,,2 Bedroom House in Muizenberg,Muizenberg
5,5,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/107446462?plId=486237&plt=2,2019_11_20,1450000.0,3.0,1.0,1.0,229.0,,,3 Bedroom House in Costa Da Gama,Costa Da Gama
6,6,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/108128176?plId=486238&plt=2,2019_11_20,1250000.0,2.0,1.0,1.0,200.0,,,2 Bedroom House in Costa Da Gama,Costa Da Gama
